descending order
DATA date is  22-10-04
ライバー,VideoCount
白神フブキ 1669
ロボ子さん 1091
兎田ぺこら 1065
角巻わため 1043
不知火フレア 945
天音かなた 923
さくらみこ 872
赤井はあと 862
夏色まつり 852
常闇トワ 790
桐生ココ 788
宝鐘マリン 781
尾丸ポルカ 768
大空スバル 753
白銀ノエル 721
雪花ラミィ 719
ときのそら 710
猫又おかゆ 677
獅白ぼたん 670
PavoliaReine 670
WatsonAmelia 655
アキ・ローゼンタール 650
TakabashiKiara 633
戌神ころね 613
KureijiOllie 591
大神ミオ 588
AyundaRisu 579
MoriCalliope 554
星街すいせい 550
桃鈴ねね 548
博衣こより 543
姫森ルーナ 533
癒月ちょこ 515
MoonaHoshinova 482
AiraniIofifteen 465
紫咲シオン 458
鷹嶺ルイ 455
湊あくあ 455
NinomaeIna'nis 448
AnyaMelfissa 418
GawrGura 380
夜空メル 348
HakosBaelz 288
KaelaKovalskia 276
AZKi 252
風真いろは 249
CeresFauna 233
IRyS 228
ラプラス・ダークネス 221
NanashiMumei 221
百鬼あやめ 218
VestiaZeta 198
沙花叉クロヱ 193
OuroKronii 178
KoboKanaeru 153
TsukumoSana 99
