descending order
DATA date is  22-10-04
ライバー,VideoCount
アルランディス 1537
夕刻ロベル 1195
岸堂天真 831
花咲みやび 627
律可 564
荒咬オウガ 552
影山シエン 464
アステル・レダ 424
緋崎ガンマ 217
奏手イヅル 199
水無世燐央 173
夜十神封魔 158
羽継烏有 148
RegisAltare 98
鏡見キラ 95
NoirVesper 95
AxelSyrios 77
MagniDezmond 74
薬師寺朱雀 0
