descending order
DATA date is  22-10-20
ライバー,subscriberCount
胡桃のあ 475000
一ノ瀬うるは 464000
橘ひなの 430000
花芽すみれ 426000
藍沢エマ 351000
八雲べに 317000
花芽なずな 294000
猫汰つな 282000
紫宮るな 275000
英リサ 261000
神成きゅぴ 228000
空澄セナ 219000
兎咲ミミ 208000
如月れん 153000
白波らむね 140000
小雀とと 129000
