---hololive members---
date: 22/05/23

AiraniIofifteen
AnyaMelfissa
AyundaRisu
AZKi
CeresFauna
GawrGura
HakosBaelz
IRyS
KaelaKovalskia
KoboKanaeru
KureijiOllie
MoonaHoshinova
MoriCalliope
NanashiMumei
NinomaeIna'nis
OuroKronii
PavoliaReine
TakabashiKiara
TsukumoSana
VestiaZeta
WatsonAmelia
さくらみこ
ときのそら
アキ・ローゼンタール
ラプラス・ダークネス
ロボ子さん
不知火フレア
兎田ぺこら
博衣こより
夏色まつり
夜空メル
大神ミオ
大空スバル
天音かなた
姫森ルーナ
宝鐘マリン
尾丸ポルカ
常闇トワ
戌神ころね
星街すいせい
桃鈴ねね
沙花叉クロヱ
湊あくあ
猫又おかゆ
獅白ぼたん
癒月ちょこ
白神フブキ
白銀ノエル
百鬼あやめ
紫咲シオン
角巻わため
赤井はあと
雪花ラミィ
風真いろは
鷹嶺ルイ

member count= 55
