descending order
DATA date is  22-06-12
ライバー,VideoCount
白神フブキ 1535
ロボ子さん 1017
兎田ぺこら 965
角巻わため 936
不知火フレア 871
天音かなた 868
赤井はあと 791
さくらみこ 775
夏色まつり 774
宝鐘マリン 745
常闇トワ 716
尾丸ポルカ 682
雪花ラミィ 668
白銀ノエル 663
大空スバル 651
ときのそら 632
獅白ぼたん 602
アキ・ローゼンタール 596
猫又おかゆ 591
WatsonAmelia 570
戌神ころね 554
TakabashiKiara 551
PavoliaReine 549
AyundaRisu 541
大神ミオ 524
星街すいせい 520
桃鈴ねね 497
KureijiOllie 495
MoriCalliope 478
姫森ルーナ 474
癒月ちょこ 470
湊あくあ 442
紫咲シオン 435
MoonaHoshinova 421
AiraniIofifteen 413
NinomaeIna'nis 405
博衣こより 351
GawrGura 350
AnyaMelfissa 344
鷹嶺ルイ 334
夜空メル 319
AZKi 236
HakosBaelz 214
百鬼あやめ 210
IRyS 190
風真いろは 180
ラプラス・ダークネス 168
CeresFauna 167
NanashiMumei 156
沙花叉クロヱ 147
OuroKronii 136
KaelaKovalskia 104
TsukumoSana 95
VestiaZeta 85
KoboKanaeru 61
