descending order
DATA date is  22-10-07
ライバー,VideoCount
アルランディス 1543
夕刻ロベル 1198
岸堂天真 832
花咲みやび 629
律可 565
荒咬オウガ 554
影山シエン 465
アステル・レダ 425
緋崎ガンマ 220
奏手イヅル 201
水無世燐央 173
夜十神封魔 158
羽継烏有 148
RegisAltare 99
NoirVesper 97
鏡見キラ 95
AxelSyrios 79
MagniDezmond 75
薬師寺朱雀 0
