descending order
DATA date is  22-06-11
ライバー,VideoCount
白神フブキ 1533
ロボ子さん 1017
兎田ぺこら 965
角巻わため 935
不知火フレア 870
天音かなた 868
赤井はあと 791
さくらみこ 775
夏色まつり 773
宝鐘マリン 745
常闇トワ 715
尾丸ポルカ 682
雪花ラミィ 668
白銀ノエル 662
大空スバル 651
ときのそら 632
獅白ぼたん 601
アキ・ローゼンタール 595
猫又おかゆ 591
WatsonAmelia 570
戌神ころね 554
TakabashiKiara 550
PavoliaReine 548
AyundaRisu 541
大神ミオ 524
星街すいせい 520
桃鈴ねね 497
KureijiOllie 494
MoriCalliope 478
姫森ルーナ 473
癒月ちょこ 470
湊あくあ 442
紫咲シオン 434
MoonaHoshinova 421
AiraniIofifteen 413
NinomaeIna'nis 405
博衣こより 350
GawrGura 349
AnyaMelfissa 344
鷹嶺ルイ 333
夜空メル 319
AZKi 236
HakosBaelz 214
百鬼あやめ 210
IRyS 190
風真いろは 180
ラプラス・ダークネス 168
CeresFauna 167
NanashiMumei 156
沙花叉クロヱ 147
OuroKronii 136
KaelaKovalskia 100
TsukumoSana 95
VestiaZeta 84
KoboKanaeru 60
