descending order
DATA date is  22-06-01
ライバー,subscriberCount
GawrGura 3970000
MoriCalliope 2060000
兎田ぺこら 1940000
宝鐘マリン 1920000
白神フブキ 1880000
戌神ころね 1820000
WatsonAmelia 1660000
湊あくあ 1630000
白銀ノエル 1490000
星街すいせい 1480000
さくらみこ 1470000
NinomaeIna'nis 1410000
猫又おかゆ 1390000
TakabashiKiara 1370000
赤井はあと 1360000
大空スバル 1320000
百鬼あやめ 1270000
夏色まつり 1240000
角巻わため 1220000
天音かなた 1210000
獅白ぼたん 1170000
MoonaHoshinova 1080000
KureijiOllie 1070000
常闇トワ 1050000
紫咲シオン 1010000
雪花ラミィ 1000000
大神ミオ 993000
尾丸ポルカ 980000
ときのそら 974000
桃鈴ねね 936000
不知火フレア 882000
癒月ちょこ 870000
ロボ子さん 837000
沙花叉クロヱ 830000
IRyS 828000
姫森ルーナ 807000
ラプラス・ダークネス 786000
OuroKronii 730000
夜空メル 720000
アキ・ローゼンタール 676000
AyundaRisu 672000
KoboKanaeru 658000
NanashiMumei 650000
AZKi 638000
PavoliaReine 621000
博衣こより 610000
AiraniIofifteen 578000
HakosBaelz 555000
風真いろは 543000
CeresFauna 543000
鷹嶺ルイ 522000
AnyaMelfissa 492000
VestiaZeta 394000
TsukumoSana 326000
KaelaKovalskia 275000
