DATA date is  22-06-19
ライバー,subscriberCount
AlbanKnox 362000
AmiciaMichella 80400
AzuraCecillia 53100
BanHada 60800
BonnivierPranaja 80300
DeremKado 32100
EliraPendora 389000
EnnaAlouette 308000
EtnaCrimson 48000
FinanaRyugu 364000
FulgurOvid 242000
Gaon 29400
HaYun 44500
HyonaElatiora 29000
IkeEveland 587000
LaylaAlstroemeria 59400
LeeRoha 85100
LucaKaneshiro 589000
MillieParfait 301000
MiyuOttavia 84300
MystaRias 679000
NagisaArcinia 28200
Nagi【にじさんじ】 68000
NaraHaramaung 54900
NaSera【にじさんじ】 24400
NinaKosaka 413000
OhJiyu 37100
PetraGurin 331000
PomuRainpuff 377000
RaiGalilei 43600
ReimuEndou 278000
RezaAvanluna 54600
RiksaDhirendra 48600
RosemiLovelock 316000
RyuHari 23100
Ryushen 552000
SelenTatsuki 395000
SonnyBrisko 285000
UkiVioleta 296000
VoxAkuma 846000
XiaEkavira 32300
Yamino 544000
YugoAsuma 266000
えま★おうがすと 200000
える【にじさんじ】 274000
でびでび・でびる 490000
ましろ None
アクシア・クローネ 244000
アルス・アルマル 626000
アンジュ・カトリーナ 667000
イブラヒム 476000
エクス・アルビオ 311000
エリー・コニファー 178000
オリバー・エバンス 228000
ギルザレンⅲ世 127000
グウェル・オス・ガール 400000
シスカレオンタイン 114000
シスター・クレア 442000
ジョー・力一 393000
セフィナ 82400
ゼアコルネリア 92900
タカラジマン 111000
ドーラ 308000
ニュイ・ソシエール 390000
ハナマキア 272000
フミ 204000
フレン・E・ルスタリオ 469000
ベルモンド・バンデラス 414000
ミカメラティカ 195000
モイラ 138000
ヤンナリ 120000
ラトナ・プティ 439000
リゼ・ヘルエスタ 659000
ルイス・キャミー 198000
レイン・パターソン 288000
レオス・ヴィンセント 275000
レヴィ・エリファ 278000
ローレン・イロアス 300000
三枝明那 487000
不破湊 575000
伏見ガク 225000
健屋花那 462000
先斗寧 121000
剣持刀也 666000
加賀美ハヤト 520000
勇気ちひろ 617000
卯月コウ 224000
周央サンゴ 355000
壱百満天原サロメ 1320000
夕陽リリ 235000
夜見れな 414000
夢月ロア 353000
夢追翔 283000
天ヶ瀬むゆ 96300
天宮こころ 443000
奈羅花 351000
宇志海いちご 163000
安土桃 126000
家長むぎ 172000
小野町春香 192000
山神カルタ 180000
弦月藤士郎 264000
愛園愛美 172000
成瀬鳴 117000
文野環 321000
早瀬走 212000
明楽レイ 47600
星川サラ 784000
春崎エアル 106000
月ノ美兎 879000
朝日南アカネ 191000
本間ひまわり 694000
来栖夏芽 178000
東堂コハク 111000
桜凛月 212000
森中花咲 275000
椎名唯華 576000
樋口楓 546000
海妹四葉 120000
渋谷ハジメ 146000
瀬戸美夜子 155000
物述有栖 248000
甲斐田晴 455000
町田ちま 507000
白雪巴 364000
相羽ういは 329000
矢車りね 75900
社築 629000
神田笑一 226000
空星きらめ 156000
竜胆尊 505000
舞元啓介 373000
花畑チャイカ 382000
葉加瀬冬雪 369000
葉山舞鈴 247000
葛葉 1320000
西園チグサ 367000
語部紡 77400
赤羽葉子 170000
轟京子 126000
郡道美玲 422000
鈴木勝 246000
鈴谷アキ 141000
鈴鹿詩子 536000
長尾景 290000
雨森小夜 157000
雪城真尋 159000
静凛 354000
飛鳥ひな 104000
魔使マオ 256000
魔界ノりりむ 307000
鷹宮リオン 446000
黒井しば 186000
黛灰 541000
민수하 96900
