descending order
DATA date is  22-10-16
ライバー,VideoCount
アルランディス 1567
夕刻ロベル 1204
岸堂天真 838
花咲みやび 635
律可 568
荒咬オウガ 561
影山シエン 467
アステル・レダ 433
緋崎ガンマ 229
奏手イヅル 205
水無世燐央 178
夜十神封魔 161
羽継烏有 156
RegisAltare 104
NoirVesper 101
鏡見キラ 95
AxelSyrios 90
MagniDezmond 78
薬師寺朱雀 0
