DATA date is  22-10-14
ライバー,VideoCount
AlbanKnox 206
AmiciaMichella 590
AzuraCecillia 482
BanHada 166
BonnivierPranaja 280
DeremKado 465
EliraPendora 400
EnnaAlouette 254
EtnaCrimson 327
FinanaRyugu 402
FulgurOvid 164
Gaon 545
HaYun 234
HyonaElatiora 218
IkeEveland 200
LaylaAlstroemeria 533
LeeRoha 287
LucaKaneshiro 250
MillieParfait 290
MiyuOttavia 374
MystaRias 263
NagisaArcinia 340
Nagi【にじさんじ】 372
NaraHaramaung 469
NaSera【にじさんじ】 294
NinaKosaka 373
OhJiyu 365
PetraGurin 289
PomuRainpuff 528
RaiGalilei 245
ReimuEndou 293
RezaAvanluna 559
RiksaDhirendra 652
RosemiLovelock 359
RyuHari 271
Ryushen 492
SelenTatsuki 448
SonnyBrisko 191
UkiVioleta 153
VoxAkuma 254
XiaEkavira 270
Yamino 212
YugoAsuma 173
えま★おうがすと 387
える【にじさんじ】 1483
でびでび・でびる 1011
ましろ None
アクシア・クローネ 305
アルス・アルマル 1013
アンジュ・カトリーナ 461
イブラヒム 853
エクス・アルビオ 843
エリー・コニファー 409
オリバー・エバンス 255
ギルザレンⅲ世 41
グウェル・オス・ガール 632
シスカレオンタイン 431
シスター・クレア 2089
ジョー・力一 538
セフィナ 499
セラフ・ダズルガーデン 94
ゼアコルネリア 483
タカラジマン 816
ドーラ 703
ニュイ・ソシエール 921
ハナマキア 582
フミ 954
フレン・E・ルスタリオ 737
ベルモンド・バンデラス 1007
ミカメラティカ 333
ミン・スゥーハ 482
モイラ 435
ヤンナリ 536
ラトナ・プティ 736
リゼ・ヘルエスタ 566
ルイス・キャミー 673
レイン・パターソン 414
レオス・ヴィンセント 355
レヴィ・エリファ 852
ローレン・イロアス 278
三枝明那 675
不破湊 828
伏見ガク 601
健屋花那 599
先斗寧 187
剣持刀也 390
加賀美ハヤト 763
勇気ちひろ 1339
卯月コウ 612
周央サンゴ 471
四季凪アキラ 59
壱百満天原サロメ 119
夕陽リリ 714
夜見れな 1214
夢月ロア 364
夢追翔 676
天ヶ瀬むゆ 160
天宮こころ 900
奈羅花 526
宇志海いちご 470
安土桃 127
家長むぎ 161
小野町春香 1006
山神カルタ 728
弦月藤士郎 493
愛園愛美 555
成瀬鳴 615
文野環 499
早瀬走 469
明楽レイ 331
星川サラ 833
春崎エアル 278
月ノ美兎 700
朝日南アカネ 362
本間ひまわり 1244
来栖夏芽 649
東堂コハク 177
桜凛月 1272
森中花咲 412
椎名唯華 1186
樋口楓 933
海妹四葉 170
渋谷ハジメ 1692
渡会雲雀 80
瀬戸美夜子 961
物述有栖 545
甲斐田晴 977
町田ちま 406
白雪巴 747
相羽ういは 97
矢車りね 133
社築 913
神田笑一 1620
空星きらめ 363
竜胆尊 339
舞元啓介 610
花畑チャイカ 685
葉加瀬冬雪 1019
葉山舞鈴 413
葛葉 1311
西園チグサ 942
語部紡 3
赤羽葉子 234
轟京子 619
郡道美玲 1404
鈴木勝 569
鈴谷アキ 842
鈴鹿詩子 771
長尾景 969
雨森小夜 73
雪城真尋 415
静凛 1318
風楽奏斗 78
飛鳥ひな 201
魔使マオ 682
魔界ノりりむ 820
鷹宮リオン 1497
黒井しば 404
黛灰 603
