descending order
DATA date is  22-06-28
ライバー,subscriberCount
GawrGura 4030000
MoriCalliope 2080000
兎田ぺこら 1950000
宝鐘マリン 1940000
白神フブキ 1890000
戌神ころね 1830000
WatsonAmelia 1680000
湊あくあ 1640000
白銀ノエル 1510000
星街すいせい 1510000
さくらみこ 1490000
NinomaeIna'nis 1430000
猫又おかゆ 1400000
TakabashiKiara 1380000
赤井はあと 1370000
大空スバル 1330000
百鬼あやめ 1280000
夏色まつり 1250000
角巻わため 1240000
天音かなた 1210000
獅白ぼたん 1190000
MoonaHoshinova 1100000
KureijiOllie 1100000
常闇トワ 1070000
紫咲シオン 1020000
雪花ラミィ 1010000
大神ミオ 1000000
尾丸ポルカ 986000
ときのそら 984000
桃鈴ねね 943000
不知火フレア 891000
癒月ちょこ 879000
沙花叉クロヱ 859000
KoboKanaeru 853000
ロボ子さん 843000
IRyS 838000
姫森ルーナ 815000
ラプラス・ダークネス 805000
OuroKronii 749000
夜空メル 726000
AyundaRisu 687000
アキ・ローゼンタール 685000
NanashiMumei 665000
AZKi 647000
PavoliaReine 637000
博衣こより 635000
AiraniIofifteen 589000
風真いろは 576000
HakosBaelz 571000
CeresFauna 562000
鷹嶺ルイ 545000
AnyaMelfissa 504000
VestiaZeta 438000
TsukumoSana 336000
KaelaKovalskia 308000
