descending order
DATA date is  22-06-04
ライバー,subscriberCount
GawrGura 3970000
MoriCalliope 2060000
兎田ぺこら 1940000
宝鐘マリン 1930000
白神フブキ 1880000
戌神ころね 1820000
WatsonAmelia 1660000
湊あくあ 1630000
白銀ノエル 1500000
星街すいせい 1480000
さくらみこ 1470000
NinomaeIna'nis 1420000
猫又おかゆ 1390000
TakabashiKiara 1370000
赤井はあと 1360000
大空スバル 1320000
百鬼あやめ 1270000
夏色まつり 1240000
角巻わため 1220000
天音かなた 1210000
獅白ぼたん 1170000
MoonaHoshinova 1090000
KureijiOllie 1070000
常闇トワ 1050000
紫咲シオン 1010000
雪花ラミィ 1000000
大神ミオ 993000
尾丸ポルカ 980000
ときのそら 975000
桃鈴ねね 937000
不知火フレア 883000
癒月ちょこ 871000
ロボ子さん 838000
沙花叉クロヱ 831000
IRyS 829000
姫森ルーナ 808000
ラプラス・ダークネス 787000
OuroKronii 732000
夜空メル 721000
アキ・ローゼンタール 680000
KoboKanaeru 675000
AyundaRisu 674000
NanashiMumei 651000
AZKi 638000
PavoliaReine 623000
博衣こより 612000
AiraniIofifteen 579000
HakosBaelz 557000
CeresFauna 546000
風真いろは 544000
鷹嶺ルイ 524000
AnyaMelfissa 493000
VestiaZeta 399000
TsukumoSana 327000
KaelaKovalskia 277000
