descending order
DATA date is  22-10-10
ライバー,subscriberCount
夕刻ロベル 273000
律可 218000
アステル・レダ 213000
影山シエン 209000
奏手イヅル 196000
RegisAltare 184000
NoirVesper 174000
アルランディス 173000
荒咬オウガ 169000
MagniDezmond 166000
AxelSyrios 154000
花咲みやび 131000
岸堂天真 127000
緋崎ガンマ 87800
夜十神封魔 87000
水無世燐央 85300
鏡見キラ 77100
羽継烏有 70600
薬師寺朱雀 10300
