descending order
DATA date is  22-06-30
ライバー,subscriberCount
GawrGura 4030000
MoriCalliope 2080000
兎田ぺこら 1960000
宝鐘マリン 1940000
白神フブキ 1890000
戌神ころね 1830000
WatsonAmelia 1680000
湊あくあ 1640000
白銀ノエル 1510000
星街すいせい 1510000
さくらみこ 1490000
NinomaeIna'nis 1430000
猫又おかゆ 1400000
TakabashiKiara 1380000
赤井はあと 1370000
大空スバル 1330000
百鬼あやめ 1280000
夏色まつり 1250000
角巻わため 1240000
天音かなた 1210000
獅白ぼたん 1190000
MoonaHoshinova 1110000
KureijiOllie 1100000
常闇トワ 1070000
紫咲シオン 1020000
雪花ラミィ 1010000
大神ミオ 1000000
尾丸ポルカ 987000
ときのそら 984000
桃鈴ねね 944000
不知火フレア 893000
癒月ちょこ 879000
KoboKanaeru 870000
沙花叉クロヱ 860000
ロボ子さん 843000
IRyS 839000
姫森ルーナ 816000
ラプラス・ダークネス 806000
OuroKronii 750000
夜空メル 726000
AyundaRisu 689000
アキ・ローゼンタール 685000
NanashiMumei 667000
AZKi 648000
PavoliaReine 639000
博衣こより 636000
AiraniIofifteen 590000
風真いろは 577000
HakosBaelz 572000
CeresFauna 564000
鷹嶺ルイ 546000
AnyaMelfissa 505000
VestiaZeta 442000
TsukumoSana 337000
KaelaKovalskia 313000
