descending order
DATA date is  22-10-14
ライバー,VideoCount
白神フブキ 1684
ロボ子さん 1100
兎田ぺこら 1072
角巻わため 1052
不知火フレア 955
天音かなた 930
さくらみこ 879
赤井はあと 870
夏色まつり 860
常闇トワ 799
桐生ココ 788
宝鐘マリン 784
尾丸ポルカ 777
大空スバル 761
雪花ラミィ 723
白銀ノエル 723
ときのそら 719
猫又おかゆ 685
PavoliaReine 680
獅白ぼたん 675
アキ・ローゼンタール 663
WatsonAmelia 659
TakabashiKiara 639
戌神ころね 619
KureijiOllie 601
大神ミオ 593
AyundaRisu 585
博衣こより 558
MoriCalliope 558
桃鈴ねね 554
星街すいせい 552
姫森ルーナ 545
癒月ちょこ 518
MoonaHoshinova 487
AiraniIofifteen 478
鷹嶺ルイ 462
紫咲シオン 458
湊あくあ 456
NinomaeIna'nis 450
AnyaMelfissa 423
GawrGura 384
夜空メル 351
HakosBaelz 294
KaelaKovalskia 290
AZKi 253
風真いろは 252
CeresFauna 237
IRyS 232
ラプラス・ダークネス 229
NanashiMumei 228
百鬼あやめ 220
沙花叉クロヱ 203
VestiaZeta 202
OuroKronii 180
KoboKanaeru 158
TsukumoSana 99
