DATA date is  22-10-14
ライバー,VideoCount
AiraniIofifteen 478
AnyaMelfissa 423
AyundaRisu 585
AZKi 253
CeresFauna 237
GawrGura 384
HakosBaelz 294
IRyS 232
KaelaKovalskia 290
KoboKanaeru 158
KureijiOllie 601
MoonaHoshinova 487
MoriCalliope 558
NanashiMumei 228
NinomaeIna'nis 450
OuroKronii 180
PavoliaReine 680
TakabashiKiara 639
TsukumoSana 99
VestiaZeta 202
WatsonAmelia 659
さくらみこ 879
ときのそら 719
アキ・ローゼンタール 663
ラプラス・ダークネス 229
ロボ子さん 1100
不知火フレア 955
兎田ぺこら 1072
博衣こより 558
夏色まつり 860
夜空メル 351
大神ミオ 593
大空スバル 761
天音かなた 930
姫森ルーナ 545
宝鐘マリン 784
尾丸ポルカ 777
常闇トワ 799
戌神ころね 619
星街すいせい 552
桃鈴ねね 554
桐生ココ 788
沙花叉クロヱ 203
湊あくあ 456
猫又おかゆ 685
獅白ぼたん 675
癒月ちょこ 518
白神フブキ 1684
白銀ノエル 723
百鬼あやめ 220
紫咲シオン 458
角巻わため 1052
赤井はあと 870
雪花ラミィ 723
風真いろは 252
鷹嶺ルイ 462
