descending order
DATA date is  22-10-06
ライバー,VideoCount
白神フブキ 1674
ロボ子さん 1093
兎田ぺこら 1066
角巻わため 1045
不知火フレア 947
天音かなた 925
さくらみこ 873
赤井はあと 864
夏色まつり 854
常闇トワ 791
桐生ココ 788
宝鐘マリン 781
尾丸ポルカ 770
大空スバル 755
白銀ノエル 721
雪花ラミィ 720
ときのそら 711
猫又おかゆ 680
PavoliaReine 672
獅白ぼたん 671
WatsonAmelia 657
アキ・ローゼンタール 653
TakabashiKiara 633
戌神ころね 615
KureijiOllie 594
大神ミオ 588
AyundaRisu 581
MoriCalliope 554
星街すいせい 550
桃鈴ねね 549
博衣こより 544
姫森ルーナ 536
癒月ちょこ 515
MoonaHoshinova 483
AiraniIofifteen 468
紫咲シオン 458
鷹嶺ルイ 455
湊あくあ 455
NinomaeIna'nis 449
AnyaMelfissa 419
GawrGura 381
夜空メル 348
HakosBaelz 288
KaelaKovalskia 278
AZKi 252
風真いろは 250
CeresFauna 233
IRyS 229
ラプラス・ダークネス 222
NanashiMumei 222
百鬼あやめ 218
VestiaZeta 199
沙花叉クロヱ 195
OuroKronii 179
KoboKanaeru 155
TsukumoSana 99
