descending order
DATA date is  22-10-10
ライバー,subscriberCount
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
GawrGura 4200000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
宝鐘マリン 2160000
