descending order
DATA date is  22-06-18
ライバー,subscriberCount
GawrGura 4000000
MoriCalliope 2070000
兎田ぺこら 1950000
宝鐘マリン 1930000
白神フブキ 1890000
戌神ころね 1820000
WatsonAmelia 1670000
湊あくあ 1640000
白銀ノエル 1500000
星街すいせい 1500000
さくらみこ 1480000
NinomaeIna'nis 1420000
猫又おかゆ 1400000
赤井はあと 1370000
TakabashiKiara 1370000
大空スバル 1330000
百鬼あやめ 1280000
夏色まつり 1240000
角巻わため 1230000
天音かなた 1210000
獅白ぼたん 1180000
MoonaHoshinova 1100000
KureijiOllie 1090000
常闇トワ 1060000
紫咲シオン 1020000
雪花ラミィ 1010000
大神ミオ 1000000
尾丸ポルカ 984000
ときのそら 979000
桃鈴ねね 940000
不知火フレア 886000
癒月ちょこ 876000
沙花叉クロヱ 853000
ロボ子さん 841000
IRyS 834000
姫森ルーナ 812000
ラプラス・ダークネス 795000
KoboKanaeru 794000
OuroKronii 743000
夜空メル 724000
アキ・ローゼンタール 683000
AyundaRisu 682000
NanashiMumei 659000
AZKi 643000
PavoliaReine 631000
博衣こより 627000
AiraniIofifteen 584000
風真いろは 569000
HakosBaelz 564000
CeresFauna 556000
鷹嶺ルイ 533000
AnyaMelfissa 498000
VestiaZeta 422000
TsukumoSana 333000
KaelaKovalskia 293000
