descending order
DATA date is  22-10-17
ライバー,subscriberCount
胡桃のあ 475000
一ノ瀬うるは 464000
橘ひなの 429000
花芽すみれ 425000
藍沢エマ 350000
八雲べに 317000
花芽なずな 293000
猫汰つな 281000
紫宮るな 274000
英リサ 261000
神成きゅぴ 228000
空澄セナ 218000
兎咲ミミ 207000
如月れん 153000
白波らむね 139000
小雀とと 129000
