descending order
DATA date is  22-07-05
ライバー,VideoCount
白神フブキ 1561
ロボ子さん 1026
兎田ぺこら 983
角巻わため 958
不知火フレア 890
天音かなた 880
赤井はあと 797
夏色まつり 792
さくらみこ 788
宝鐘マリン 749
常闇トワ 730
尾丸ポルカ 697
雪花ラミィ 681
白銀ノエル 675
大空スバル 670
ときのそら 645
獅白ぼたん 616
猫又おかゆ 607
アキ・ローゼンタール 607
WatsonAmelia 580
PavoliaReine 575
TakabashiKiara 568
戌神ころね 557
AyundaRisu 549
大神ミオ 534
星街すいせい 527
KureijiOllie 520
桃鈴ねね 508
MoriCalliope 491
姫森ルーナ 486
癒月ちょこ 475
湊あくあ 444
紫咲シオン 443
MoonaHoshinova 435
AiraniIofifteen 425
NinomaeIna'nis 410
博衣こより 388
鷹嶺ルイ 364
GawrGura 356
AnyaMelfissa 355
夜空メル 321
AZKi 242
HakosBaelz 226
百鬼あやめ 211
IRyS 196
風真いろは 194
CeresFauna 182
ラプラス・ダークネス 181
NanashiMumei 171
沙花叉クロヱ 155
OuroKronii 145
KaelaKovalskia 136
VestiaZeta 112
TsukumoSana 100
KoboKanaeru 76
