descending order
DATA date is  22-07-05
ライバー,subscriberCount
GawrGura 4040000
MoriCalliope 2080000
兎田ぺこら 1960000
宝鐘マリン 1940000
白神フブキ 1890000
戌神ころね 1830000
WatsonAmelia 1680000
湊あくあ 1650000
白銀ノエル 1510000
星街すいせい 1510000
さくらみこ 1490000
NinomaeIna'nis 1440000
猫又おかゆ 1410000
TakabashiKiara 1380000
赤井はあと 1370000
大空スバル 1340000
百鬼あやめ 1280000
夏色まつり 1250000
角巻わため 1240000
天音かなた 1220000
獅白ぼたん 1190000
MoonaHoshinova 1120000
KureijiOllie 1110000
常闇トワ 1070000
紫咲シオン 1030000
雪花ラミィ 1010000
大神ミオ 1000000
尾丸ポルカ 988000
ときのそら 986000
桃鈴ねね 946000
KoboKanaeru 926000
不知火フレア 894000
癒月ちょこ 880000
沙花叉クロヱ 864000
ロボ子さん 844000
IRyS 843000
姫森ルーナ 817000
ラプラス・ダークネス 809000
OuroKronii 753000
夜空メル 727000
AyundaRisu 692000
アキ・ローゼンタール 687000
NanashiMumei 674000
AZKi 655000
PavoliaReine 645000
博衣こより 640000
AiraniIofifteen 594000
風真いろは 580000
HakosBaelz 574000
CeresFauna 569000
鷹嶺ルイ 548000
AnyaMelfissa 508000
VestiaZeta 453000
TsukumoSana 339000
KaelaKovalskia 323000
