descending order
DATA date is  22-10-20
ライバー,VideoCount
白神フブキ 1688
ロボ子さん 1100
兎田ぺこら 1076
角巻わため 1057
不知火フレア 960
天音かなた 931
さくらみこ 882
赤井はあと 873
夏色まつり 862
常闇トワ 803
桐生ココ 788
宝鐘マリン 787
尾丸ポルカ 784
大空スバル 765
雪花ラミィ 726
白銀ノエル 725
ときのそら 722
猫又おかゆ 688
PavoliaReine 688
獅白ぼたん 678
アキ・ローゼンタール 666
WatsonAmelia 665
TakabashiKiara 645
戌神ころね 625
KureijiOllie 606
大神ミオ 596
AyundaRisu 591
博衣こより 568
MoriCalliope 559
桃鈴ねね 558
星街すいせい 553
姫森ルーナ 549
癒月ちょこ 523
MoonaHoshinova 489
AiraniIofifteen 483
鷹嶺ルイ 468
紫咲シオン 458
湊あくあ 456
NinomaeIna'nis 450
AnyaMelfissa 426
GawrGura 387
夜空メル 355
KaelaKovalskia 302
HakosBaelz 298
AZKi 253
風真いろは 252
CeresFauna 240
ラプラス・ダークネス 234
IRyS 234
NanashiMumei 232
百鬼あやめ 220
沙花叉クロヱ 208
VestiaZeta 206
OuroKronii 183
KoboKanaeru 158
TsukumoSana 99
