descending order
DATA date is  22-06-15
ライバー,VideoCount
白神フブキ 1536
ロボ子さん 1019
兎田ぺこら 967
角巻わため 937
不知火フレア 873
天音かなた 870
赤井はあと 793
夏色まつり 779
さくらみこ 778
宝鐘マリン 746
常闇トワ 718
尾丸ポルカ 683
雪花ラミィ 670
白銀ノエル 664
大空スバル 653
ときのそら 633
獅白ぼたん 605
アキ・ローゼンタール 597
猫又おかゆ 594
WatsonAmelia 571
戌神ころね 554
TakabashiKiara 554
PavoliaReine 551
AyundaRisu 541
大神ミオ 524
星街すいせい 522
KureijiOllie 501
桃鈴ねね 497
MoriCalliope 480
姫森ルーナ 476
癒月ちょこ 470
湊あくあ 443
紫咲シオン 436
MoonaHoshinova 424
AiraniIofifteen 415
NinomaeIna'nis 405
博衣こより 356
GawrGura 352
AnyaMelfissa 346
鷹嶺ルイ 338
夜空メル 320
AZKi 237
HakosBaelz 216
百鬼あやめ 211
IRyS 191
風真いろは 182
ラプラス・ダークネス 170
CeresFauna 170
NanashiMumei 160
沙花叉クロヱ 150
OuroKronii 139
KaelaKovalskia 108
TsukumoSana 96
VestiaZeta 89
KoboKanaeru 64
