descending order
DATA date is  22-06-15
ライバー,subscriberCount
GawrGura 3990000
MoriCalliope 2070000
兎田ぺこら 1940000
宝鐘マリン 1930000
白神フブキ 1880000
戌神ころね 1820000
WatsonAmelia 1670000
湊あくあ 1640000
白銀ノエル 1500000
星街すいせい 1490000
さくらみこ 1480000
NinomaeIna'nis 1420000
猫又おかゆ 1400000
赤井はあと 1370000
TakabashiKiara 1370000
大空スバル 1330000
百鬼あやめ 1280000
夏色まつり 1240000
角巻わため 1230000
天音かなた 1210000
獅白ぼたん 1180000
MoonaHoshinova 1090000
KureijiOllie 1080000
常闇トワ 1060000
紫咲シオン 1020000
雪花ラミィ 1000000
大神ミオ 1000000
尾丸ポルカ 983000
ときのそら 978000
桃鈴ねね 939000
不知火フレア 884000
癒月ちょこ 874000
沙花叉クロヱ 849000
ロボ子さん 840000
IRyS 833000
姫森ルーナ 811000
ラプラス・ダークネス 794000
KoboKanaeru 775000
OuroKronii 741000
夜空メル 724000
アキ・ローゼンタール 682000
AyundaRisu 680000
NanashiMumei 658000
AZKi 641000
PavoliaReine 628000
博衣こより 620000
AiraniIofifteen 583000
風真いろは 566000
HakosBaelz 563000
CeresFauna 553000
鷹嶺ルイ 531000
AnyaMelfissa 497000
VestiaZeta 417000
TsukumoSana 332000
KaelaKovalskia 291000
