descending order
DATA date is  22-10-04
ライバー,subscriberCount
夕刻ロベル 272000
律可 218000
アステル・レダ 212000
影山シエン 209000
奏手イヅル 196000
RegisAltare 181000
アルランディス 173000
NoirVesper 172000
荒咬オウガ 168000
MagniDezmond 164000
AxelSyrios 151000
花咲みやび 131000
岸堂天真 126000
夜十神封魔 86100
緋崎ガンマ 85100
水無世燐央 84400
鏡見キラ 77100
羽継烏有 70200
薬師寺朱雀 10300
