descending order
DATA date is  22-10-09
ライバー,VideoCount
白神フブキ 1679
ロボ子さん 1098
兎田ぺこら 1068
角巻わため 1048
不知火フレア 951
天音かなた 927
さくらみこ 874
赤井はあと 865
夏色まつり 858
常闇トワ 795
桐生ココ 788
宝鐘マリン 782
尾丸ポルカ 773
大空スバル 759
白銀ノエル 722
雪花ラミィ 721
ときのそら 714
猫又おかゆ 681
PavoliaReine 675
獅白ぼたん 673
WatsonAmelia 658
アキ・ローゼンタール 657
TakabashiKiara 635
戌神ころね 617
KureijiOllie 597
大神ミオ 591
AyundaRisu 582
MoriCalliope 554
桃鈴ねね 551
星街すいせい 551
博衣こより 550
姫森ルーナ 540
癒月ちょこ 516
MoonaHoshinova 484
AiraniIofifteen 473
鷹嶺ルイ 458
紫咲シオン 458
湊あくあ 456
NinomaeIna'nis 449
AnyaMelfissa 421
GawrGura 382
夜空メル 349
HakosBaelz 292
KaelaKovalskia 281
風真いろは 252
AZKi 252
CeresFauna 234
IRyS 231
ラプラス・ダークネス 225
NanashiMumei 225
百鬼あやめ 218
沙花叉クロヱ 200
VestiaZeta 200
OuroKronii 180
KoboKanaeru 158
TsukumoSana 99
