DATA date is  22-06-13
ライバー,VideoCount
AiraniIofifteen 413
AnyaMelfissa 344
AyundaRisu 541
AZKi 236
CeresFauna 168
GawrGura 351
HakosBaelz 214
IRyS 190
KaelaKovalskia 106
KoboKanaeru 62
KureijiOllie 497
MoonaHoshinova 422
MoriCalliope 478
NanashiMumei 158
NinomaeIna'nis 405
OuroKronii 137
PavoliaReine 549
TakabashiKiara 552
TsukumoSana 95
VestiaZeta 86
WatsonAmelia 571
さくらみこ 776
ときのそら 632
アキ・ローゼンタール 597
ラプラス・ダークネス 169
ロボ子さん 1018
不知火フレア 871
兎田ぺこら 965
博衣こより 351
夏色まつり 776
夜空メル 319
大神ミオ 524
大空スバル 652
天音かなた 868
姫森ルーナ 474
宝鐘マリン 746
尾丸ポルカ 683
常闇トワ 716
戌神ころね 554
星街すいせい 520
桃鈴ねね 497
沙花叉クロヱ 147
湊あくあ 442
猫又おかゆ 592
獅白ぼたん 603
癒月ちょこ 470
白神フブキ 1535
白銀ノエル 664
百鬼あやめ 210
紫咲シオン 435
角巻わため 936
赤井はあと 792
雪花ラミィ 669
風真いろは 180
鷹嶺ルイ 335
