descending order
DATA date is  22-06-13
ライバー,VideoCount
白神フブキ 1535
ロボ子さん 1018
兎田ぺこら 965
角巻わため 936
不知火フレア 871
天音かなた 868
赤井はあと 792
夏色まつり 776
さくらみこ 776
宝鐘マリン 746
常闇トワ 716
尾丸ポルカ 683
雪花ラミィ 669
白銀ノエル 664
大空スバル 652
ときのそら 632
獅白ぼたん 603
アキ・ローゼンタール 597
猫又おかゆ 592
WatsonAmelia 571
戌神ころね 554
TakabashiKiara 552
PavoliaReine 549
AyundaRisu 541
大神ミオ 524
星街すいせい 520
桃鈴ねね 497
KureijiOllie 497
MoriCalliope 478
姫森ルーナ 474
癒月ちょこ 470
湊あくあ 442
紫咲シオン 435
MoonaHoshinova 422
AiraniIofifteen 413
NinomaeIna'nis 405
博衣こより 351
GawrGura 351
AnyaMelfissa 344
鷹嶺ルイ 335
夜空メル 319
AZKi 236
HakosBaelz 214
百鬼あやめ 210
IRyS 190
風真いろは 180
ラプラス・ダークネス 169
CeresFauna 168
NanashiMumei 158
沙花叉クロヱ 147
OuroKronii 137
KaelaKovalskia 106
TsukumoSana 95
VestiaZeta 86
KoboKanaeru 62
