DATA date is  22-10-20
ライバー,subscriberCount
AlbanKnox 558000
AmiciaMichella 90500
AzuraCecillia 59400
BanHada 70800
BonnivierPranaja 100000
DeremKado 39200
EliraPendora 508000
EnnaAlouette 479000
EtnaCrimson 49900
FinanaRyugu 465000
FulgurOvid 383000
Gaon 39900
HaYun 65300
HyonaElatiora 34200
IkeEveland 818000
LaylaAlstroemeria 71700
LeeRoha 91300
LucaKaneshiro 873000
MillieParfait 432000
MiyuOttavia 94300
MystaRias 968000
NagisaArcinia 30000
Nagi【にじさんじ】 77200
NaraHaramaung 65600
NaSera【にじさんじ】 41700
NinaKosaka 513000
OhJiyu 44300
PetraGurin 448000
PomuRainpuff 506000
RaiGalilei 46700
ReimuEndou 370000
RezaAvanluna 66600
RiksaDhirendra 51400
RosemiLovelock 421000
RyuHari 27800
Ryushen 590000
SelenTatsuki 559000
SonnyBrisko 433000
UkiVioleta 475000
VoxAkuma 1170000
XiaEkavira 42000
Yamino 784000
YugoAsuma 407000
えま★おうがすと 202000
える【にじさんじ】 330000
でびでび・でびる 516000
ましろ None
アクシア・クローネ 274000
アルス・アルマル 683000
アンジュ・カトリーナ 714000
イブラヒム 503000
エクス・アルビオ 317000
エリー・コニファー 187000
オリバー・エバンス 264000
ギルザレンⅲ世 133000
グウェル・オス・ガール 443000
シスカレオンタイン 121000
シスター・クレア 477000
ジョー・力一 435000
セフィナ 143000
セラフ・ダズルガーデン 159000
ゼアコルネリア 102000
タカラジマン 124000
ドーラ 313000
ニュイ・ソシエール 419000
ハナマキア 281000
フミ 213000
フレン・E・ルスタリオ 513000
ベルモンド・バンデラス 434000
ミカメラティカ 272000
ミン・スゥーハ 136000
モイラ 140000
ヤンナリ 165000
ラトナ・プティ 506000
リゼ・ヘルエスタ 708000
ルイス・キャミー 209000
レイン・パターソン 322000
レオス・ヴィンセント 328000
レヴィ・エリファ 297000
ローレン・イロアス 337000
三枝明那 560000
不破湊 712000
伏見ガク 250000
健屋花那 498000
先斗寧 167000
剣持刀也 768000
加賀美ハヤト 581000
勇気ちひろ 637000
卯月コウ 248000
周央サンゴ 409000
四季凪アキラ 179000
壱百満天原サロメ 1670000
夕陽リリ 252000
夜見れな 433000
夢月ロア 353000
夢追翔 294000
天ヶ瀬むゆ 109000
天宮こころ 493000
奈羅花 378000
宇志海いちご 164000
安土桃 131000
家長むぎ 177000
小野町春香 202000
山神カルタ 197000
弦月藤士郎 298000
愛園愛美 175000
成瀬鳴 125000
文野環 332000
早瀬走 221000
明楽レイ 51400
星川サラ 848000
春崎エアル 120000
月ノ美兎 947000
朝日南アカネ 212000
本間ひまわり 701000
来栖夏芽 194000
東堂コハク 116000
桜凛月 223000
森中花咲 282000
椎名唯華 622000
樋口楓 596000
海妹四葉 170000
渋谷ハジメ 154000
渡会雲雀 200000
瀬戸美夜子 162000
物述有栖 252000
甲斐田晴 526000
町田ちま 568000
白雪巴 385000
相羽ういは 345000
矢車りね 86700
社築 678000
神田笑一 238000
空星きらめ 160000
竜胆尊 518000
舞元啓介 391000
花畑チャイカ 408000
葉加瀬冬雪 391000
葉山舞鈴 281000
葛葉 1410000
西園チグサ 427000
語部紡 83400
赤羽葉子 175000
轟京子 135000
郡道美玲 447000
鈴木勝 263000
鈴谷アキ 148000
鈴鹿詩子 554000
長尾景 353000
雨森小夜 161000
雪城真尋 171000
静凛 366000
風楽奏斗 122000
飛鳥ひな 105000
魔使マオ 268000
魔界ノりりむ 329000
鷹宮リオン 457000
黒井しば 201000
黛灰 710000
